t,z_m,v_m,eds
2.4524524524524525,-29417.178376480977,-23967.487832425777,0
2.4624624624624625,-29657.57945355745,-24064.645770366467,0
2.4724724724724725,-29898.95304019805,-24161.795635720147,0
2.4824824824824825,-30141.29906390719,-24258.938961309686,0
2.4924924924924925,-30384.6174671509,-24356.077309208835,0
2.5025025025025025,-30628.908207910798,-24453.21223744396,0
2.5125125125125125,-30874.171259684095,-24550.34529999381,0
2.5225225225225225,-31120.406611483606,-24647.478046789507,0
2.5325325325325325,-31367.614267837747,-24744.61202371456,0
2.5425425425425425,-31615.794248790524,-24841.748772604857,0
2.5525525525525525,-31864.946589785715,-24938.889828204097,0
2.5625625625625625,-32115.07134075392,-25036.036673695227,0
2.5725725725725725,-32366.168568255624,-25133.19077914299,0
2.5825825825825826,-32618.238352701046,-25230.353575053632,0
2.5925925925925926,-32871.28078758903,-25327.52643840915,0
2.6026026026026026,-33125.29597950702,-25424.710692667308,0
2.6126126126126126,-33380.2840481311,-25521.907607761645,0
2.6226226226226226,-33636.24512622597,-25619.118400101455,0
2.6326326326326326,-33893.17935964496,-25716.344232571802,0
2.6426426426426426,-34151.08690442113,-25813.58619540748,0
2.6526526526526526,-34409.96792704159,-25910.845297652744,0
2.6626626626626626,-34669.82260568001,-26008.122483137566,0
2.6726726726726726,-34930.65112556317,-26105.418608075306,0
2.6826826826826826,-35192.453678948965,-26202.734440938715,0
2.6926926926926926,-35455.2304651264,-26300.070662459915,0
2.7027027027027026,-35718.981690415625,-26397.4278656304,0
2.7127127127127126,-35983.707568167876,-26494.806555701045,0
2.7227227227227226,-36249.408318125235,-26592.2071491628,0
2.7327327327327327,-36516.084159796614,-26689.62995914837,0
2.7427427427427427,-36783.73531790216,-26787.07520132704,0
2.7527527527527527,-37052.36201808598,-26884.542995174797,0
2.7627627627627627,-37321.96448532516,-26982.033362312042,0
2.7727727727727727,-37592.542943929766,-27079.546226503568,0
2.7827827827827827,-37864.097617542895,-27177.08141365857,0
2.7927927927927927,-38136.62872914062,-27274.638651830646,0
2.8028028028028027,-38410.13649958012,-27372.217573258455,0
2.8128128128128127,-38684.62114257428,-27469.81771622669,0
2.8228228228228227,-38960.08286885736,-27567.438519981137,0
2.8328328328328327,-39236.521881920526,-27665.079338031774,0
2.8428428428428427,-39513.93837756762,-27762.739439079676,0
2.8528528528528527,-39792.332543915145,-27860.41800701703,0
2.8628628628628627,-40071.70456139228,-27958.11414092713,0
2.8728728728728727,-40352.054602485376,-28055.826856446718,0
2.8828828828828827,-40633.38282760336,-28153.55510270118,0
2.8928928928928928,-40915.68938693892,-28251.297747683257,0
2.9029029029029028,-41198.974418812264,-28349.05359812153,0
2.9129129129129128,-41483.23804869488,-28446.821406104293,0
2.9229229229229228,-41768.48038920955,-28544.599869079542,0
2.932932932932933,-42054.701540130336,-28642.387629854973,0
2.942942942942943,-42341.90158834357,-28740.183277195127,0
2.952952952952953,-42630.08060573384,-28837.985369604114,0
2.962962962962963,-42919.23864921336,-28935.792420261245,0
2.972972972972973,-43209.375760915,-29033.602915469117,0
2.982982982982983,-43500.49196757387,-29131.41532837047,0
2.992992992992993,-43792.58728052739,-29229.228118948216,0
3.003003003003003,-44085.66169571524,-29327.039734025428,0
3.013013013013013,-44379.71519367938,-29424.848607265332,0
3.023023023023023,-44674.74773967581,-29522.653175441785,0
3.033033033033033,-44970.75928254914,-29620.45188957427,0
3.043043043043043,-45267.74975514802,-29718.24319705275,0
3.053053053053053,-45565.71907571015,-29816.025578849916,0
3.063063063063063,-45864.667147882465,-29913.797550401865,0
3.073073073073073,-46164.59386072121,-30011.557661608105,0
3.083083083083083,-46465.49908869191,-30109.304496831555,0
3.093093093093093,-46767.38269166937,-30207.03667489853,0
3.103103103103103,-47070.24451542806,-30304.752854303544,0
3.113113113113113,-47374.084394174286,-30402.451767981293,0
3.123123123123123,-47678.90214762521,-30500.13219380695,0
3.133133133133133,-47984.697584672846,-30597.79297855826,0
3.143143143143143,-48291.470504033285,-30695.433043668545,0
3.153153153153153,-48599.22069424666,-30793.051385226685,0
3.163163163163163,-48907.94793367715,-30890.64707397713,0
3.173173173173173,-49217.651990513,-30988.219255319887,0
3.183183183183183,-49528.33262425588,-31085.767154833648,0
3.193193193193193,-49839.98958914708,-31183.290095162658,0
3.203203203203203,-50152.622631139915,-31280.787483120654,0
3.2132132132132134,-50466.23149217146,-31378.258820015973,0
3.2232232232232234,-50780.815910437406,-31475.703702509578,0
3.2332332332332334,-51096.37562039212,-31573.121822615085,0
3.2432432432432434,-51412.910352748586,-31670.512967698738,0
3.2532532532532534,-51730.419835315384,-31767.877020705393,0
3.2632632632632634,-52048.90379750106,-31865.21396502014,0
3.2732732732732734,-52368.36196711804,-31962.523884597296,0
3.2832832832832834,-52688.79407452899,-32059.806959324582,0
3.2932932932932935,-53010.19985332485,-32157.063464818275,0
3.3033033033033035,-53332.57904032484,-32254.293772423218,0
3.3133133133133135,-53655.93137557647,-32351.49834921282,0
3.3233233233233235,-53980.256602669266,-32448.677757071724,0
3.3333333333333335,-54305.554473406555,-32545.832643418747,0
3.3433433433433435,-54631.824745187754,-32642.963753592474,0
3.3533533533533535,-54959.067183795916,-32740.071914089727,0
3.3633633633633635,-55287.281564678386,-32837.15802767444,0
3.3733733733733735,-55616.46767294679,-32934.223073377674,0
3.3833833833833835,-55946.62530337708,-33031.26810649759,0
3.3933933933933935,-56277.75426040948,-33128.29425859948,0
3.4034034034034035,-56609.854359997415,-33225.30272436212,0
3.4134134134134135,-56942.92543199307,-33322.2947579142,0
3.4234234234234235,-57276.967317866554,-33419.27168234008,0
3.4334334334334335,-57611.979873267584,-33516.23485971137,0
3.4434434434434436,-57947.96296807976,-33613.1856905918,0
3.4534534534534536,-58284.91648642055,-33710.12561403721,0
